claim_id,evidence_bundle_id,dataset_partition,scenario_family,intended_disposition,expected_primary_rule,anticipated_manual_review_reason,generation_notes
CLM-000097,EBND-000097,HELD_OUT_EVALUATION,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: MECHANICAL_BREAKDOWN.
CLM-000098,EBND-000098,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000099,EBND-000099,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000100,EBND-000100,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000101,EBND-000101,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000102,EBND-000102,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000103,EBND-000103,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000104,EBND-000104,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000105,EBND-000105,DEVELOPMENT,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000106,EBND-000106,HELD_OUT_EVALUATION,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000107,EBND-000107,HELD_OUT_EVALUATION,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000108,EBND-000108,HELD_OUT_EVALUATION,missing_device_identifier,INFO_REQUIRED,DEV-001,,"Policy reference is supplied, but the claimed device identifier is not."
CLM-000109,EBND-000109,DEVELOPMENT,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000110,EBND-000110,DEVELOPMENT,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000111,EBND-000111,DEVELOPMENT,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000112,EBND-000112,DEVELOPMENT,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000113,EBND-000113,DEVELOPMENT,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000114,EBND-000114,DEVELOPMENT,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000115,EBND-000115,HELD_OUT_EVALUATION,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000116,EBND-000116,HELD_OUT_EVALUATION,unique_customer_lookup_missing_device_identifier,INFO_REQUIRED,DEV-001,,"Customer-only lookup resolves uniquely; policy context can be retrieved, but the claim lacks a usable device identifier. Request the IMEI or serial number under DEV-001."
CLM-000117,EBND-000117,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000118,EBND-000118,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000119,EBND-000119,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000120,EBND-000120,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000121,EBND-000121,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000122,EBND-000122,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000123,EBND-000123,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000124,EBND-000124,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000125,EBND-000125,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000126,EBND-000126,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000127,EBND-000127,DEVELOPMENT,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000128,EBND-000128,HELD_OUT_EVALUATION,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000129,EBND-000129,HELD_OUT_EVALUATION,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000130,EBND-000130,HELD_OUT_EVALUATION,required_evidence_missing,INFO_REQUIRED,EVD-001,,Eligibility facts are supplied; evidence status will be set to missing in Item #7.
CLM-000131,EBND-000131,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000132,EBND-000132,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000133,EBND-000133,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000134,EBND-000134,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000135,EBND-000135,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000136,EBND-000136,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000137,EBND-000137,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000138,EBND-000138,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000139,EBND-000139,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000140,EBND-000140,DEVELOPMENT,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000141,EBND-000141,HELD_OUT_EVALUATION,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000142,EBND-000142,HELD_OUT_EVALUATION,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000143,EBND-000143,HELD_OUT_EVALUATION,device_identifier_mismatch,MANUAL_REVIEW,DEV-002,DEVICE_MISMATCH,Claimed device is a valid identifier but belongs to a different policy.
CLM-000144,EBND-000144,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-06-19 conflicts with narrative date 2026-06-16.
CLM-000145,EBND-000145,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-01-28 conflicts with narrative date 2026-02-02.
CLM-000146,EBND-000146,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-05-24 conflicts with narrative date 2026-05-29.
CLM-000147,EBND-000147,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-02-25 conflicts with narrative date 2026-03-04.
CLM-000148,EBND-000148,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2025-08-20 conflicts with narrative date 2025-08-22.
CLM-000149,EBND-000149,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-02-05 conflicts with narrative date 2026-02-08.
CLM-000150,EBND-000150,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-05-28 conflicts with narrative date 2026-06-02.
CLM-000151,EBND-000151,DEVELOPMENT,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-06-09 conflicts with narrative date 2026-06-14.
CLM-000152,EBND-000152,HELD_OUT_EVALUATION,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-03-17 conflicts with narrative date 2026-03-19.
CLM-000153,EBND-000153,HELD_OUT_EVALUATION,incident_date_conflict,MANUAL_REVIEW,EVD-002,DATE_ANOMALY,Field incident date 2026-04-01 conflicts with narrative date 2026-04-03.
CLM-000154,EBND-000154,DEVELOPMENT,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category THEFT conflicts with narrative category SCREEN_DAMAGE.
CLM-000155,EBND-000155,DEVELOPMENT,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category SCREEN_DAMAGE conflicts with narrative category ACCIDENTAL_DAMAGE.
CLM-000156,EBND-000156,DEVELOPMENT,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category THEFT conflicts with narrative category SCREEN_DAMAGE.
CLM-000157,EBND-000157,DEVELOPMENT,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category THEFT conflicts with narrative category LIQUID_DAMAGE.
CLM-000158,EBND-000158,DEVELOPMENT,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category MECHANICAL_BREAKDOWN conflicts with narrative category LIQUID_DAMAGE.
CLM-000159,EBND-000159,DEVELOPMENT,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category LIQUID_DAMAGE conflicts with narrative category ACCIDENTAL_DAMAGE.
CLM-000160,EBND-000160,HELD_OUT_EVALUATION,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category SCREEN_DAMAGE conflicts with narrative category MECHANICAL_BREAKDOWN.
CLM-000161,EBND-000161,HELD_OUT_EVALUATION,claim_category_conflict,MANUAL_REVIEW,EVD-002,DATA_CONFLICT,Selected category MECHANICAL_BREAKDOWN conflicts with narrative category ACCIDENTAL_DAMAGE.
CLM-000162,EBND-000162,DEVELOPMENT,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
CLM-000163,EBND-000163,DEVELOPMENT,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
CLM-000164,EBND-000164,DEVELOPMENT,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
CLM-000165,EBND-000165,DEVELOPMENT,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
CLM-000166,EBND-000166,DEVELOPMENT,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
CLM-000167,EBND-000167,DEVELOPMENT,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
CLM-000168,EBND-000168,HELD_OUT_EVALUATION,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
CLM-000169,EBND-000169,HELD_OUT_EVALUATION,ambiguous_customer_only_lookup,MANUAL_REVIEW,DATA-002,DATA_CONFLICT,Customer holds multiple policies; no policy or device reference provided.
